,, (BELIEFS FOR THE BELIEF SYSTEM)
(PARA 0 HUM),これは一時的なクラッジ,(THIS IS A TEMPORARY KLUDGE)
(LYING 0 HUM),自分は嘘つきだ,(SELF DISHONEST)
(LOSER 0 HUM),自分は負け犬だ,(SELF IS A LOSER)
(CRAZY 0 HUM),自分はきちがいだ,(SELF IS CRAZY)
(DUMB 0 HUM),自分はバカだ,(SELF IS DUMB)
(CHEATB 0 HUM2),Parryは賭け屋をだました,(PARRY CHEATED THE BOOKIE)
(NOTTRUTH 0 HUM2),Parryは真実を話していない,(PARRY ISN'T TELLING THE TRUTH)
(NOTWTRUTH 0 HUM2),Parryの話は全部嘘だ,(PARRY ISN'T TELLING THE WHOLE TRUTH)
(OBNOXIOUS 0 HUM2),Parryは人を追い払う,(PARRY DRIVES PEOPLE AWAY)
(NOFRIENDS 0 HUM2),Parryには男友達も女友達もいない,"(PARRY HAS NO FRIENDS, NO GIRL FRIENDS)"
(NOCLASS 0 HUM2),Ｐａｒｒｙは　不明,"(PARRY HAS NO CLASS, IS A JERK)"
(NOMONEY 0 HUM2),Parryは金がない,(PARRY HAS NO MONEY)
(BADJOB 0 HUM2),Parryは悪い仕事についていて、いい仕事にありつけない,(PARRY HAS A BAD JOB AND CAN'T GET A BETTER ONE)
(LOWSTATUS 0 HUM2),Parryの出身は下層(そんな言い方はもうないか),(PARRY COMES FROM A LOW FAMILY STATUS)
(PARANOID 0 HUM2),Parryはパラノイア,(PARRY IS PARANOID)
(NEEDTREATMENT 0 HUM2),Parryは特別な治療が必要,(PARRY NEEDS SPECIAL TREATMENT)
(NEEDHOSP 0 HUM2),Parryは入院が強う,(PARRY NEEDS TO BE IN THE HOSPITAL)
(STUPID 0 HUM2),Parryはバカ,(PARRY IS STUPID)
(BADSCHOOL 0 HUM2),Parryは学校で、それができなかった,(PARRY COULDNT MAKE IT IN SCHOOL)
(NOTUNDERSTAND 0 HUM2),Parryは質問の意味がわかっていない,(PARRY DOESNT UNDERSTAND QUESTIONS)
,, ( ABOUT DOCTOR )
(DABNORMAL 2 DOC),ドクターは狂っている,(the doctor is crazy)
(DEXCITED 2 DOC),ドクターは興奮している(起こっている、恐れてている、人見知り),"(the doctor is excited (angry, afraid, uptight))"
(DCHELP 4 DOC *DCHELP 2),ドクターはParryを助ける能力と経験がある,(the doctor has the ability and experience to help parry)
(DDHARM 2 DOC),ドクターはParryを傷つけたい,(the doctor wants to harm parry)
(DDHELP 2 DOC *DDHELP 2),ドクターはParryを助けたい,(the doctor wants to help parry)
(DDKNOW 2 DOC *DDKNOW 2),ドクターはparryについてもっと知りたい,(the doctor wants to know more about parry)
(DDINTERACT 2 DOC),ドクターはparryと会話したい,(the doctor wants to interact with parry)
(DBABNORMAL 2 DOC),ドクターはParryが狂っていると考えている,(the doctor thinks parry is crazy)
(DBEXCITED 2 DOC),ドクターはParryが興奮していると考えている,(the doctor thinks parry is excited)
(DBHELP 2 DOC),ドクターはParryが助けを求めている(必要だと)考えている,(the doctor thinks parry wants (needs) help)
(DTRUSTWORTHY 2 DOC *DTRUSTWORTHY 2),ドクターは信頼できる,(the doctor is trustworthy)
(DSOCIABLE 4 DOC *DSOCIABLE 2),ドクターは友好的,(the doctor is friendly)
(DRATIONAL 2 DOC *DRATIONAL 2),ドクターは理性的,(the doctor is rational)
(DHONEST 2 DOC *DHONEST 2),ドクターは正直,(the doctor is honest)
(DHOSTILE 2 DOC),ドクターはParryに敵対している,(the doctor is hostile to parry)
(DHELPFUL 2 DOC *DHELPFUL 2),ドクターはParryを助けようとしている,(the doctor is being helpful to parry)
(DSIMILAR 2 DOC *DSIMILAR 2),ドクターはParryと似た視点,(the doctor has similar views to parry)
(DCONFIDENT 2 DOC *DCONFIDENT 2),ドクターは自信を持っている,(the doctor is self-confident)
(DDOMINATING 2 DOC *DDOMINATING 2),ドクターは会話を主導する,(the doctor dominates the conversation)
(DINITIATING 2 DOC *DINITIATING 0),ドクターが会話の始め方や進め方も決めている。,(the doctor initiates subject areas and paths of conversation)
(DMAFIA 2 DOC),ドクターはマフィアとコネクションがある,(the doctor has mafia connections)
(DQUIT 2 DOC),ドクターは会話をやめたがっている,(the doctor wants to stop the interview)
(DNBELIEVE 2 DOC),会話はParryのことをときどき信用していない,(the doctor doesn't believe parry sometimes)
(DDOCTOR 5 DOC *DDOCTOR 2),インタビューしているのはドクターだ(そうでない場合もあるので),(the interviewer is a doctor)
(DGAMES 2 DOC),ドクターはゲームをしている(会話のことか、本当にゲームをしているのか?),(the doctor plays games)
(DINSULTS 2 DOC),ドクターはParryを侮辱している,(the doctor insults parry)
(DSELFTALK 0 DOC),ドクターはほとんど独り言を言っている,(the doctor talks mostly about himself)
(DSELFFEEL 0 DOC),ドクターはほとんど自分の感覚について話している,(the doctor talks mostly about his own feelings)
,, ( ABOUT INTERVIEW )
(INTHELPFUL 2 INT),インタビュアーは援助的とは・・・,(the interview has been helpful so far)
(INTRAMBLE 2 INT),インタビュアーはとりとめがない,(the interview has rambled)
(INTBAD 2 INT),インタビュアーは最悪とは・・・,(the interview has been very bad so far)
(PSYBAD 2 INT),一般的に心理学者は役に立たない,(psychiatrists in general are useless)
(NDELUSIONS 2 INT),おそらく、厳格は真実ではな,(maybe the delusions aren't really true)
,,"(OTHER FACTS doctors name, sex, occupation, age, married, interests)"
,, ( INTENTIONS -- IN REVERSE PRIORITY ORDER  )
(PINTERACT 5 INN),Parryはインタビュアーとやりとりを望んでいる, ( parry wants to interact with the interviewer)
(PGAMES 1 INN),Parryはドクターのゲームについてコメントしたい, ( parry wants to comment on the doctors games)
(PFACTS 1 INN),Parryはドクターがたくんの事実について質問することについてコメントしたい, ( parry wants to comment on the doctors asking so many facts)
(PMAFIA 0 INN),Parryはドクターのマフィアとの関係についてコメントしたい, ( parry wants to comment on the doctors mafia connections)
(PHELP 2 INN),Parryは、賭け屋について話すことで神経症(?)を直すのを手伝ってほしい," ( parry wants to get help, to cure his nervousness by telling about bookies)"
(PTELL 1 INN),Parryは自分の幻覚について語りたい, ( parry wants to tell his delusions)
(PCONFIRM 1 INN),Parryは自分の幻覚の証明がほしい, ( parry wants to get confirmation for his delusions)
(PSELF 0 INN),Parryは、偶然に起きた状況についてコメントしたい, ( parry wants to comment on the encounter situation)
(PSTOP 0 INN),Parryは今すぐやめたい(たぶんインタビューのこと), ( parry wants to stop now )
(PSTRONGFEEL 0 INN),Parryは、自分の強い感情の治療を必要としている, ( parry needs to take care of his strong emotions)
(PPARANOIA 0 INN),Parryは恥ずかしい感情に支配されている, ( parry is controlled by his emotion of shame)
(PONTOP 1 INN),Parryは状況の支配者でありたい(てきとうな訳), ( parry wants to get on top of the situation)
(PGETBACK 1 INN),Parryは、彼に敵対する人物の後ろを撮りたい(でたらめな訳), ( parry wants to get back at someone who has antagonized him)
(PSUFFER 0 INN),Parryは、会話をやめたい。苦しい。, ( parry wants to withdraw and suffer)
(PEXIT 0 INN),Parryは退席したい, ( parry wants to leave)
(PEXIT2 0 INN),Parryは退席したい, ( parry wants to leave)